Player,Data,GO,Mediterranean Ave.,Community Chest,Baltic Ave.,Income Tax,Reading Railroad,Oriental Ave.,Chance,Vermont Ave.,Connecticut Ave.,Just Visiting Jail,St. Charles Place,Electric Company,States Ave.,Virginia Ave.,Pennsylvania Railroad,St. James Place,Community Chest,Tennessee Ave.,New York Ave.,Free Parking,Kentucky Ave.,Chance,Indiana Ave.,Illinois Ave.,B. & O. Railroad,Atlantic Ave.,Ventnor Ave.,Water Works,Marvin Gardens,Go to Jail,Pacific Ave.,North Carolina Ave.,Community Chest,Pennsylvania Ave.,Short Line Railroad,Chance,Park Place,Luxury Tax,Boardwalk,Jail
0,Times Landed On,20991,11589,14518,14750,12132,21139,11541,21357,11234,11308,17696,15523,15303,19976,14313,16892,18303,17490,20286,16481,18502,17560,16403,22973,15969,16181,21755,16969,19131,12840,13138,15919,13422,18840,18990,17135,12702,12376,12655,13571,24469
0,Land Stage,0,11382,0,11269,0,2383,4838,0,4050,4393,0,4351,3069,4430,5801,2441,7336,0,9396,7952,0,5829,0,7093,6537,2570,7940,6691,3117,6847,0,4742,4889,0,7035,2119,0,5366,0,5425,0
0,Land Wealth,0,818562,0,1869238,0,525675,294876,0,268692,238166,0,437245,379958,267780,571620,532750,878290,0,1299560,1378912,0,763757,0,861441,920810,650575,1304339,1043826,443906,1159979,0,407695,498366,0,626850,296300,0,981590,0,1231500,0
0,Township Wealth,2687800,801734,1276645,3556762,2546008,3508144,1532911,2213090,823864,2005300
1,Times Landed On,15573,11594,8137,21125,14723,14094,16996,20329,11615,20224,14649,15991,14201,25984,21122,10668,26192,13710,16644,13655,31501,14669,13325,16875,13842,20233,27298,14335,19897,16237,12599,23724,20742,18960,9615,11235,13998,21717,11595,17675,22964
1,Land Stage,0,14140,0,15810,0,1689,17107,0,16947,19892,0,12287,2406,15464,12507,1587,9368,0,7849,7946,0,4165,0,4340,4711,2016,9066,6495,2315,6262,0,10085,6841,0,6320,1473,0,10735,0,9893,0
1,Land Wealth,0,956212,0,2323578,0,73825,2858146,0,2829104,3743246,0,1907510,115902,1988750,1779468,64325,968674,0,909010,1138644,0,266901,0,221222,349285,71200,861365,648480,117078,555285,0,1146943,715815,0,724312,50950,0,2070120,0,2931350,0
1,Township Wealth,3279790,9430496,5675728,3016328,837408,2065130,2587070,5001470,232980,260300
2,Times Landed On,29104,8845,12702,13259,33191,18936,11003,19810,22550,12819,16068,24866,26497,15959,13803,27166,15962,29866,15579,17977,16306,23854,16102,18916,16922,27206,13993,15785,26354,22536,14137,18274,13328,17461,13774,11413,15714,19045,15348,14712,25393
2,Land Stage,0,8428,0,8542,0,8074,7813,0,9906,7800,0,12266,5515,9604,9653,8364,5887,0,6161,6789,0,8809,0,7583,7687,8343,5760,5878,5475,8253,0,3757,3931,0,3738,7448,0,7584,0,7693,0
2,Land Wealth,0,329298,0,519442,0,4091200,742750,0,786800,644636,0,1850135,764566,1165930,1743168,3531925,372448,0,484780,665592,0,1058532,0,780478,915845,4459825,460080,439416,1154314,812393,0,160923,323536,0,216078,2777000,0,1223395,0,1733300,0
2,Township Wealth,848740,2174186,4759233,1522820,2754855,1711889,700537,2956695,1918880,14859950
3,Times Landed On,15958,9870,11351,11707,18005,18881,11286,23533,11998,15424,15489,16109,21820,11557,11166,16005,21663,17091,15054,15531,18707,16888,19550,18685,16260,16026,15683,19670,20695,11608,14491,16528,13898,15266,15897,12338,13097,12337,16285,16139,26549
3,Land Stage,0,7553,0,7579,0,1904,5137,0,4402,4161,0,3693,5208,3592,4525,1884,10236,0,8483,8617,0,7997,0,9094,8022,1896,3279,7356,5238,3277,0,4791,4980,0,4466,1619,0,5829,0,6139,0
3,Land Wealth,0,387424,0,841210,0,337725,242246,0,190296,149298,0,236615,821918,218085,355024,326425,1570418,0,1551082,1780980,0,1138000,0,1392900,1270540,373250,163785,554649,1048330,225352,0,511314,541206,0,462970,304425,0,1023875,0,1522700,0
3,Township Wealth,1228634,581840,809724,4902480,3801440,943786,1515490,2546575,1870248,1341825
