Player,Data,GO,Mediterranean Ave.,Community Chest,Baltic Ave.,Income Tax,Reading Railroad,Oriental Ave.,Chance,Vermont Ave.,Connecticut Ave.,Just Visiting Jail,St. Charles Place,Electric Company,States Ave.,Virginia Ave.,Pennsylvania Railroad,St. James Place,Community Chest,Tennessee Ave.,New York Ave.,Free Parking,Kentucky Ave.,Chance,Indiana Ave.,Illinois Ave.,B. & O. Railroad,Atlantic Ave.,Ventnor Ave.,Water Works,Marvin Gardens,Go to Jail,Pacific Ave.,North Carolina Ave.,Community Chest,Pennsylvania Ave.,Short Line Railroad,Chance,Park Place,Luxury Tax,Boardwalk,Jail
0,Times Landed On,1062,602,783,742,614,1114,624,1046,609,558,882,826,793,1061,745,860,947,938,1052,831,969,961,867,1197,813,832,1113,898,1006,649,715,857,674,958,989,920,692,642,661,671,1344
0,Land Stage,0,524,0,513,0,128,222,0,179,183,0,31,61,24,35,133,313,0,373,336,0,323,0,381,347,134,434,360,60,362,0,251,287,0,383,119,0,213,0,213,0
0,Land Wealth,0,50680,0,98384,0,32275,11144,0,15696,11914,0,390,8624,330,852,35025,60794,0,67606,71096,0,65280,0,56235,83520,40700,83222,58272,9872,65109,0,29028,36423,0,40044,24825,0,35065,0,48650,0
0,Township Wealth,149064,38754,1572,199496,205035,206603,105495,83715,18496,132825
1,Times Landed On,846,669,440,1074,793,770,905,1034,625,1064,802,875,709,1308,1097,554,1384,799,831,735,1664,773,661,918,749,1060,1423,764,1011,813,646,1213,1096,972,506,688,763,1117,607,920,1124
1,Land Stage,0,774,0,851,0,87,912,0,907,1027,0,92,47,122,98,62,495,0,432,439,0,287,0,300,311,84,525,404,42,397,0,629,476,0,462,78,0,503,0,463,0
1,Land Wealth,0,63778,0,148770,0,4850,173136,0,170280,212604,0,10380,2800,13155,11060,3400,73156,0,79146,80924,0,23593,0,32331,32050,3300,74868,66289,2546,59693,0,106062,57713,0,79046,2975,0,155170,0,193700,0
1,Township Wealth,212548,556020,34595,233226,87974,200850,242821,348870,5346,14525
2,Times Landed On,1478,443,691,686,1664,987,566,1006,1171,689,841,1278,1336,782,754,1423,829,1542,781,978,844,1166,852,961,902,1412,783,815,1305,1118,718,989,690,903,726,561,811,990,764,770,1296
2,Land Stage,0,465,0,455,0,423,429,0,539,437,0,134,116,113,115,423,275,0,290,306,0,480,0,433,446,428,318,338,113,455,0,186,202,0,180,387,0,389,0,379,0
2,Land Wealth,0,27360,0,43092,0,244375,56096,0,50136,46086,0,25530,20558,17280,15860,196900,23124,0,30724,33144,0,66137,0,72327,64090,262475,42809,40148,29728,41368,0,19851,20614,0,17740,176575,0,91925,0,113550,0
2,Township Wealth,70452,152318,58670,86992,202554,124325,58205,205475,50286,880325
3,Times Landed On,820,534,575,625,948,919,573,1192,582,777,778,879,1099,582,617,756,1085,893,760,799,967,904,921,939,830,810,807,996,1066,585,708,845,720,828,807,664,631,618,812,820,1331
3,Land Stage,0,418,0,425,0,88,279,0,217,230,0,33,108,33,38,82,435,0,368,378,0,431,0,460,433,85,168,392,107,178,0,224,264,0,226,75,0,287,0,285,0
3,Land Wealth,0,25030,0,48436,0,14675,18614,0,10114,16230,0,2040,18310,2090,3164,13425,88816,0,70036,89132,0,70560,0,87639,82045,14400,13969,29139,24194,17406,0,33184,36935,0,33414,11450,0,68890,0,105350,0
3,Township Wealth,73466,44958,7294,247984,240244,60514,103533,174240,42504,53950
