Player,Data,GO,Mediterranean Ave.,Community Chest,Baltic Ave.,Income Tax,Reading Railroad,Oriental Ave.,Chance,Vermont Ave.,Connecticut Ave.,Just Visiting Jail,St. Charles Place,Electric Company,States Ave.,Virginia Ave.,Pennsylvania Railroad,St. James Place,Community Chest,Tennessee Ave.,New York Ave.,Free Parking,Kentucky Ave.,Chance,Indiana Ave.,Illinois Ave.,B. & O. Railroad,Atlantic Ave.,Ventnor Ave.,Water Works,Marvin Gardens,Go to Jail,Pacific Ave.,North Carolina Ave.,Community Chest,Pennsylvania Ave.,Short Line Railroad,Chance,Park Place,Luxury Tax,Boardwalk,Jail
0,Times Landed On,120442,83497,84556,87245,94452,116009,94952,97839,97514,96571,117836,111476,112178,94414,103983,109636,115081,113807,120347,120301,119832,110492,116117,107923,126560,114087,107683,105767,111250,102364,104167,105188,102251,104976,97286,94893,89535,84647,85250,103809,182988
0,Land Stage,0,60478,0,60497,0,19457,49459,0,49338,49258,0,43583,20668,42543,43161,19330,44768,0,44863,44848,0,35589,0,35204,36349,19323,31774,31726,20564,31122,0,26159,25929,0,25217,17966,0,35370,0,36337,0
0,Land Wealth,0,5930440,0,10676020,0,6579475,7295568,0,7399372,8036354,0,6728825,3320004,5699590,7655708,6267650,6672004,0,7476862,7819876,0,4056753,0,4018702,4858245,6639050,3421562,3450684,3533444,3482380,0,2465524,2318907,0,2436494,5380750,0,6601960,0,10655900,0
0,Township Wealth,16606460,22731294,20084123,21968742,12933700,10354626,7220925,17257860,6853448,24866925
1,Times Landed On,120414,84242,85684,87605,95120,116762,95255,98308,98040,96697,119669,112822,112770,94422,105008,110052,115412,114592,121589,120583,120374,111442,116777,108772,127220,114904,107523,107254,111752,103077,104485,105509,103343,106223,97804,95217,90454,85399,85397,104002,182970
1,Land Stage,0,57262,0,57503,0,18591,46803,0,46935,46737,0,41946,19476,40778,41270,18523,43120,0,43371,43403,0,34487,0,34395,35149,18506,31454,31339,19185,30836,0,25877,25776,0,25100,17300,0,34869,0,35650,0
1,Land Wealth,0,5320920,0,9754442,0,6320150,6818090,0,7036548,7858722,0,6523750,3034874,5745905,7317724,6104575,6417212,0,6947116,7616900,0,3758349,0,3716087,4690585,6479200,3559020,3469551,3265396,3472429,0,2326940,2290780,0,2347876,5334475,0,6519290,0,10339100,0
1,Township Wealth,15075362,21713360,19587379,20981228,12165021,10501000,6965596,16858390,6300270,24238400
2,Times Landed On,120773,83334,85443,87169,95199,116533,94871,99652,97397,95922,119433,112026,112725,94846,104588,109747,115291,114628,120970,121435,119860,111216,117160,108168,127080,114515,107682,106749,112483,102199,104730,105083,102641,106103,98128,95040,90635,85066,84920,103988,185920
2,Land Stage,0,53661,0,53629,0,18396,43717,0,43958,43371,0,39897,18470,39075,39394,18200,41935,0,42254,41986,0,33026,0,32686,33523,18302,31177,31352,18328,30799,0,25506,25178,0,24923,17076,0,33818,0,34801,0
2,Land Wealth,0,5187776,0,9290268,0,6242325,6245840,0,6589950,7256778,0,6154755,2763116,5332320,7050156,6008600,6371970,0,6805678,7126268,0,3497378,0,3389162,4228690,6410850,3394858,3537956,2960744,3410414,0,2309458,2202909,0,2282124,5232325,0,6457770,0,10036300,0
2,Township Wealth,14478044,20092568,18537231,20303916,11115230,10343228,6794491,16494070,5723860,23894100
3,Times Landed On,120776,83131,84858,87601,95007,115730,94583,98973,97780,96497,118516,112218,112184,94351,104068,109953,115294,113973,120790,120373,118767,110638,116241,108182,127026,114252,107471,106570,111454,101895,103382,105202,102862,105255,97415,94599,90197,85118,85057,103850,182109
3,Land Stage,0,50390,0,50467,0,17788,40641,0,40766,40703,0,38256,17433,37244,37610,17714,40702,0,40898,40560,0,31993,0,31956,32702,17773,29655,29681,17052,29152,0,25087,25100,0,24237,16464,0,32562,0,33571,0
3,Land Wealth,0,4712704,0,8515026,0,5746950,5495216,0,5809134,6603728,0,5895620,2449500,5134595,6783396,5539725,6038154,0,6606478,6908776,0,3498404,0,3273529,4273145,5944000,3117658,3168923,2645050,3080689,0,2227409,2121187,0,2134472,4898900,0,6054930,0,9635150,0
3,Township Wealth,13227730,17908078,17813611,19553408,11045078,9367270,6483068,15690080,5094550,22129575
