Player,Data,GO,Mediterranean Ave.,Community Chest,Baltic Ave.,Income Tax,Reading Railroad,Oriental Ave.,Chance,Vermont Ave.,Connecticut Ave.,Just Visiting Jail,St. Charles Place,Electric Company,States Ave.,Virginia Ave.,Pennsylvania Railroad,St. James Place,Community Chest,Tennessee Ave.,New York Ave.,Free Parking,Kentucky Ave.,Chance,Indiana Ave.,Illinois Ave.,B. & O. Railroad,Atlantic Ave.,Ventnor Ave.,Water Works,Marvin Gardens,Go to Jail,Pacific Ave.,North Carolina Ave.,Community Chest,Pennsylvania Ave.,Short Line Railroad,Chance,Park Place,Luxury Tax,Boardwalk,Jail
0,Times Landed On,8,4,8,7,5,5,6,7,4,5,7,8,7,13,4,4,2,6,10,3,4,12,5,10,10,7,9,2,9,2,10,10,4,4,8,7,5,7,4,2,11
0,Land Stage,0,1,0,1,0,0,2,0,1,0,0,4,2,0,1,1,6,0,7,7,0,2,0,2,1,1,1,1,1,1,0,0,1,0,2,0,0,1,0,1,0
0,Land Wealth,0,0,0,0,0,0,0,0,6,0,0,110,36,0,72,0,1940,0,1984,5016,0,198,0,72,20,0,44,22,0,24,0,0,182,0,28,0,0,0,0,200,0
0,Township Wealth,0,6,182,8940,290,90,210,200,36,0
1,Times Landed On,11,12,7,7,9,9,10,14,4,7,16,9,10,17,11,4,16,15,10,4,15,12,8,13,7,7,14,7,14,8,7,16,11,12,3,14,12,13,9,8,18
1,Land Stage,0,16,0,15,0,2,12,0,12,14,0,13,4,15,13,0,8,0,9,7,0,3,0,4,3,0,7,4,3,6,0,4,3,0,2,2,0,11,0,12,0
1,Land Wealth,0,2090,0,4382,0,0,1500,0,556,1344,0,1500,28,2570,2004,0,1026,0,2934,1048,0,18,0,90,20,0,264,396,0,768,0,208,52,0,0,0,0,315,0,2550,0
1,Township Wealth,6472,3400,6074,5008,128,1428,260,2865,28,0
2,Times Landed On,16,6,7,7,16,6,4,14,11,6,7,14,16,5,6,9,7,11,13,9,10,14,7,6,4,13,6,13,15,10,7,5,6,9,5,7,9,8,7,7,14
2,Land Stage,0,0,0,0,0,4,2,0,4,1,0,1,4,0,0,4,0,0,1,0,0,0,0,0,0,4,2,3,5,3,0,0,1,0,1,4,0,2,0,2,0
2,Land Wealth,0,0,0,0,0,1800,0,0,36,0,0,40,888,0,0,1400,0,0,0,0,0,0,0,0,0,2050,0,88,1110,48,0,0,26,0,0,2200,0,35,0,50,0
2,Township Wealth,0,36,40,0,0,136,26,85,1998,7450
3,Times Landed On,8,5,8,6,6,13,12,11,4,11,2,13,6,6,9,10,8,8,5,9,13,10,10,10,10,5,8,7,10,9,7,6,9,14,4,5,6,9,4,14,21
3,Land Stage,0,2,0,1,0,2,3,0,1,1,0,3,0,2,1,1,1,0,2,2,0,4,0,3,3,2,1,2,1,1,0,7,7,0,7,2,0,6,0,7,0
3,Land Wealth,0,500,0,1800,0,400,54,0,0,0,0,60,24,675,536,325,1828,0,0,0,0,1484,0,306,1320,600,44,66,0,96,0,1550,468,0,2856,700,0,1570,0,50,0
3,Township Wealth,2300,54,1271,1828,3110,206,4874,1620,24,2025
